filename,authors,journal,doi,database,region,spatialScale,latitude,longitude,numStations,period,dataResolution,recordLength,dataSource,erosivityIndex,methodology,methodCategory,validationMethod,erosivityTrend,percentChange,absoluteChange,trendSignificance,trendDriver,scenario,projectionHorizon,projectedChange245,projectedChange585,gcmModel,cmipGeneration,baselinePeriod,downscalingMethod,uncertaintySource,uncertaintyType,uncertaintyMagnitude,biasCorrection,dataScarcityLevel,satelliteUsed,keyFinding,section,policyLink,qualityScore,readTier,_model_used,_key_used,pub_year,trend_clean,method_clean,resolution_clean,macro_region,scarcity_clean,satellite_clean,significance_clean,quality_num,lat,lon,section_clean,proj_high_emission,proj_medium_emission,proj_year_horizon,proj_baseline,proj_gcm,proj_scenario,proj_confidence,proj_where_found
1-s2.0-S0022169417301439-main.pdf,Panagos et al.2017,Journal of Hydrology,10.1016/j.jhydrol.2017.03.006,Scopus,Europe,Continental,48.8567,2.2943,,2010-2050,Monthly,40,"REDES, WorldClim",R-factor,Gaussian Process Regression with climate change scenarios,Statistical,,Increasing,+18%,,,Climate change,RCP4.5,2050,,,,,2010,,Climatic models,GCM spread,,,,No-ground only,The mean rainfall erosivity for the European Union and Switzerland is projected to be 857 MJ mm ha-1 h-1 yr-1 till 2050,Sec4:Modelling,,4.0,Tier1-Full,llama-3.3-70b-versatile,Key1,2017.0,Increasing,Statistical,Monthly,Europe,,Ground Only,,4.0,48.8567,2.2943,Sec4: Modelling,,18%,2050,2010,HadGEM2,RCP 4.5,HIGH,Abstract
1-s2.0-S0022169422004267-main.pdf,Wang et al.2022,Journal of Hydrology,10.1016/j.jhydrol.2022.127851,Scopus,Yellow River basin,National,35.4577,103.8462,98,1971-2020,Hourly,50,Hourly precipitation data,EI30,Hourly precipitation data from 98 stations were analyzed to detect changes in characteristics on rainfall and rainfall erosivity.,Statistical,,Increasing,+5.46%,,p < 0.05,Climate change,,,,,,,1981-2010,,,,,,Low,,"Rainfall erosivity in the Yellow River basin increased significantly over the past 50 years, with rates of 5.46% and 6.86% decade-1.",Sec3:Observed,,4.0,Tier1-Full,llama-3.3-70b-versatile,Key2,2022.0,Increasing,Statistical,Hourly,China,Low,,Significant (p<0.05),4.0,35.4577,103.8462,Sec3: Observed Trends,,,,,,,,
1-s2.0-S0022169422004401-main.pdf,Panagos et al.2022,Journal of Hydrology,10.1016/j.jhydrol.2022.127865,Scopus,Global,Global,,,,"2041-2060, 2061-2080",Annual,,GCMs,Other,A Gaussian Process Regression (GPR) approach relating rainfall depth to rainfall erosivity through a series of (bio)climatic covariates.,Statistical,,Increasing,+26.2 to +34.3%,,,Climate change,"RCP2.6, RCP4.5, RCP8.5","2050, 2070",,,ensemble of 19 GCMs,CMIP5,2010,Gaussian Process Regression,,,,,,No-ground only,A potential average increase in global rainfall erosivity between 26.2 and 34.3% for 2050 and 2070.,Sec4:Modelling,"SDG15.3, IPCC AR6, UNCCD",5.0,Tier1-Full,llama-3.3-70b-versatile,Key3,2022.0,Increasing,Statistical,Annual,Global,,Ground Only,,5.0,,,Sec4: Modelling,+28.9% (2050); +34.3% (2070),+26.2 to +27.6% (2050); +27 to +30% (2070),"2050, 2070",2010,19 CMIP5 models,"RCP 2.6, 4.5, 8.5",HIGH,Results
1-s2.0-S0048969723060382-main.pdf,Piccarreta et al.2024,Science of the Total Environment,10.1016/j.scitotenv.2023.167411,Scopus,Mediterranean area,Local,40.6397,15.8028,6,2006-2022,Sub-hourly,16,In-situ measurements,EI30,"The study used one-minute rainfall data from 6 stations to compute the maximum 30-min rainfall intensity (I30), total kinetic energy of storm (KE), EI30 and erosivity density values. The underestimation of all the considered parameters were systematically evaluated using data aggregated at 5-, 10-, 15-, 30- and 60-min fixed interval.",Statistical,Comparison with reference data,,-30% to -57%,,,,,,,,,,,,Temporal resolution,Temporal resolution,,No,Low,No-ground only,"The use of coarse temporal resolutions implies larger computational errors, and an accurate estimation of the rainfall erosivity requires the use of rainfall data with a fixed time interval of length lower than 10 min.",Sec3:Observed,,4.0,Tier1-Full,llama-3.3-70b-versatile,Key1,2024.0,,Statistical,Sub-hourly,Europe,Low,Ground Only,,4.0,40.6397,15.8028,Sec3: Observed Trends,,,,,,,,
1-s2.0-S0048969724073315-main.pdf,Adeyeri et al.2024,Science of the Total Environment,10.1016/j.scitotenv.2024.177174,Scopus,West Africa,Regional,10.0,10.0,,1982-2014,Daily,32,BCD climate models,MFI,Using bias-corrected-downscaled climate models and the Modified Fournier Index to calculate rainfall erosivity and project soil erosion.,Statistical,Comparison with reference data,Increasing,+14.84%,,p<0.001,Climate change,SSP3-7.0,Near future,,,BCD climate models,,1981-2010,Bias correction and downscaling,Climate models and downscaling methods,Model structural,,Yes-DBC,Medium,No-ground only,Soil erosion in West Africa is projected to rise by 14.84% in the near future and 18.65% in the far future under the SSP 370 scenario.,Sec3:Observed,SDG15.3,4.0,Tier1-Full,llama-3.3-70b-versatile,Key2,2024.0,Increasing,Statistical,Daily,Africa,Medium,Ground Only,,4.0,10.0,10.0,Sec3: Observed Trends,,,,,,,,
1-s2.0-S0341816215301156-main.pdf,Panagos et al.2015,Catena,10.1016/j.catena.2015.09.015,Scopus,Greece,National,39.0742,21.8243,80,1985-2014,30-minute,30,Precipitation stations,R-factor,Generalised Additive Model (GAM) for spatial interpolation and linear regression functions for predicting monthly R-factor,Statistical,,,73.0,,,,,,,,,,,,,,,,Medium,No-ground only,"High spatial and temporal variability of rainfall erosivity in Greece, with the warm season being 3 times less erosive than the cold one",Sec3:Observed,,4.0,Tier1-Full,llama-3.3-70b-versatile,Key3,2015.0,,Statistical,Sub-hourly,Europe,Medium,Ground Only,,4.0,39.0742,21.8243,Sec3: Observed Trends,,,,,,,,
1-s2.0-S0341816221004628-main.pdf,Montero-Martínez et al.2021,Catena,10.1016/j.catena.2021.105604,WoS,Mexico,National,19.4326,-99.1332,4,2014-2018,Sub-hourly,4,PWS100,Momentum flux,Optical disdrometer data were used to study the features of power and linear relationships between M and rainfall amounts (Acc).,Observation,Comparison of measurements showed that PWS100 usually estimated larger amounts of rainwater (PBIAS from 2 to 25%) with respect to gauges.,,,,,,Historical,,,,,,,,,,,,Low,No-ground only,The results of performance measures showed that all equations predicted Mmm adequately thus suggesting that this erosivity parameter depended on both the amount of precipitation and the altitude (expressed as air density or atmospheric pressure) of the site at which the measurements were performed.,Sec3:Observed,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key1,2021.0,,Observational,Sub-hourly,Americas,Low,Ground Only,,3.0,19.4326,-99.1332,Sec3: Observed Trends,,,,,,,,
1-s2.0-S0341816222004726-main.pdf,Wei et al.2022,Catena,10.1016/j.catena.2022.106486,Scopus,"Huaihe River Basin, China",Regional,31.5,114.5,5,1960-2018,Annual,59,"GloREDa,CHIRPS,GPM",RE,"The linear regression, Yue-Pilon method, and the Hurst exponent were used in analyzing the spatio-temporal variation within the HRB.",Statistical,F-test,Increasing,+12.4%,,p < 0.05,AO and NPI,Historical,,,,,,1981-2010,,Model structural,Model structural,,,Low,GPM,The annual average RE will increase within the upper-HRB and lower-HRB and decrease within the middle-HRB and the Yishusi River Watershed in the future.,Sec3:Observed,"SDG15.3,IPCC AR6,UNCCD",4.0,Tier2-Selective,llama-3.1-8b-instant,Key2,2022.0,Increasing,Statistical,Annual,China,Low,GPM,Significant (p<0.05),4.0,31.5,114.5,Sec3: Observed Trends,,,,,,,,
1-s2.0-S0341816222005586-main (1).pdf,Teixeira et al.2022,Catena,10.1016/j.catena.2022.106572,Scopus,Brazil,National,-15.0,-45.0,123,1980-2020,Daily,30,Literature review,EI30,"The EI30 has been the most employed erosivity index in the country, while the use of pluviographic rainfall data and regression equations are the main methods for obtaining erosivity values.",Statistical,,,,,,,Historical,,,,,,1981-2010,,,,,,,,"The advancements over the last decade are characterized by the use of synthetic series of rainfall and remote sensing products to estimate erosivity, as well as the use of machine learning techniques for its interpolation.",Sec1:Introduction,,3.0,Tier2-Selective,llama-3.1-8b-instant,Key3,2022.0,,Statistical,Daily,Americas,,,,3.0,-15.0,-45.0,Sec1: Introduction,,,,,,,,
1-s2.0-S0341816222005835-main.pdf,Delgado et al.2022,Catena,10.1016/j.catena.2022.106597,WoS,Ecuador,National,-0.5,-78.5,100,2001-2020,30-minute,20,"GPM-IMERG, GPCC, ERG-data",EI30,The Revised Universal Soil Loss Equation (RUSLE) was employed to estimate the rainfall erosivity.,Process-based,RIST software,,,,,,Historical,,,,,,1981-2010,,Data scarcity,Data scarcity,,,High,GPM,New models for Ecuador have been established to estimate the R-Factor from annual rainfall.,Sec4:Modelling,,3.0,Tier3-DataOnly,llama-3.1-8b-instant,Key1,2022.0,,Process-Based,Sub-hourly,Americas,High,GPM,,3.0,-0.5,-78.5,Sec4: Modelling,,,,,,,,
