title,first_author,year,region,country_or_basin,cmip_generation,scenarios,baseline_period,projection_periods,index_type,model_type,gcm_rcm_info,downscaling_method,projected_change_notes,projected_change_numeric,uncertainty_notes,key_finding_short
Downscaled climate model erosivity projections and drivers of change across distinct climate regions,Bulovic,2024,Queensland,Australia – Queensland,both,"RCP4.5, RCP8.5; SSP2-4.5, SSP3-7.0",1981–2010,2040–2069 (mid-century); 2070–2099 (end-century),R-factor (EI30),RUSLE; daily R-factor model,11 CMIP5 GCMs + 15 CMIP6 GCMs downscaled with CCAM,dynamical downscaling with CCAM; QDM bias correction,"Increases across most of the state, especially in desert and grassland regions; decreases near the coast in equatorial and tropical regions.",Queensland overall: +9.7% (RCP4.5) to +9.9% (RCP8.5) by 2070–2099; Desert: +27.9% to +46%; Grasslands: +18.1% to +19.1%; Equatorial coastal: ?4.7% to ?10.4%,model spread (choice of GCM); stationarity assumptions of sub-daily rainfall intensities,"Rainfall erosivity is projected to increase across most of Queensland, particularly in the arid interior. CMIP6 models suggest smaller increases and narrower ensemble spread than CMIP5."
Evaluating downscaled CMIP5 and CMIP6 for rainfall erosivity projections,Bulovic,2023,Queensland,Australia – Queensland,both,,1981–2010,2070–2099,Rainfall erosivity,RUSLE,,dynamical downscaling (10 km resolution),,,ensemble uncertainty; CMIP version impact,CMIP6 models provide a narrower ensemble spread for future erosivity projections compared to the CMIP5 generation.
CMIP6 projections indicate more erosive events across Australia,Bulovic,2023,Australia,Australia,CMIP6,,,,,,downscaled CMIP6,,projections indicate more erosive events,,,Future CMIP6 climate projections indicate a potential increase in the frequency of erosive rainfall events across the Australian continent.
"Assessment of the combined effects of land use/ land cover and climate change on soil erosion in the Sile watershed, Ethiopian Rift Valley Lakes Basin",Wolde,2023,Ethiopian Rift Valley Lakes Basin,Ethiopia – Sile watershed,CMIP5,"RCP4.5, RCP8.5",1987–2020,2050,R-factor,RUSLE,ensemble of four RCM models,Distribution mapping (DT) bias correction,Erosion is expected to increase due to the expansion of cultivation and bare land coupled with climate change.,R factor values for 2050 (RCP4.5 and 8.5) range ~700–707 MJ mm ha?¹ hr?¹ year?¹; Soil loss increase: +36.40% to +38.19%.,,Soil erosion in the Sile watershed is projected to worsen significantly by 2050 due to combined climate and land cover changes. Agricultural expansion and increased rainfall erosivity are primary drivers.
Modeling the Impact of Climate Change and Land Use Change Scenarios on Soil Erosion at the Minab Dam Watershed,Azimi Sardari,2019,South Iran,Iran – Minab Dam watershed,CMIP5,"RCP2.6, RCP4.5, RCP8.5",1989–2016,2016–2030,R-factor (Fournier index),RUSLE,CanESM2,SDSM 5.1,"Rainfall and erosivity are projected to increase under all scenarios, with RCP 2.6 showing the highest increase.",Average annual rainfall: 146.7 to 200.1 mm (RCP2.6); Average R factor: 28.78 to 37.27 MJ mm ha?¹ h?¹ y?¹ (RCP2.6).,,"Future rainfall erosivity in the Minab watershed is projected to increase by 2030, particularly under the RCP 2.6 scenario. Land use shifts further exacerbate soil erosion risks."
Integrating ENSO Variability and CMIP6 Projections to Assess Future Rainfall Erosivity in a Tropical Data-Scarce Watershed in Indonesia,Djuraini,2025,Indonesia,Indonesia – Podi Watershed,CMIP6,"SSP2-4.5, SSP5-8.5",1981–2024,2026–2040 (near); 2041–2055 (mid); 2056–2070 (far),R-factor,RUSLE,15 CMIP6 GCMs,Quantile Mapping (QM) bias correction,"Projections suggest potential intensification of rainfall erosivity, especially under high-emission scenarios. Significant sensitivity to ENSO phases.",Sen’s Slope: 4.55 for SSP5-8.5 far future period.,data-scarce region; high temporal variability of tropical rainfall; GCM underestimation of extremes,Rainfall erosivity in the Podi Watershed is highly sensitive to ENSO variability and is projected to intensify under future CMIP6 scenarios. Robust bias correction is critical for accurate assessment in tropical regions.
"Soil Erosion Responses to CMIP6 Climate Scenarios and Land Cover Changes in the Gidabo Watershed, Ethiopia: Implications for Sustainable Watershed Management",Dogiso,2025,Gidabo Watershed,Ethiopia – Gidabo Watershed,CMIP6,"SSP2-4.5, SSP5-8.5",1995–2014,2021–2040 (near future); 2041–2060 (mid-future),R-factor,InVEST-SDR,Six CMIP6 GCMs,quantile mapping,Annual precipitation shows insignificantly increasing trends; erosivity (R-factor) fluctuates; erosion primarily driven by agricultural expansion.,R-factor High: 541.66 (baseline) to 510.89 (mid-future SSP5-8.5); Soil loss High: 145.26 to 178.407 t/ha/yr.,extreme precipitation biases; localized climate processes,"Soil erosion in the Gidabo Watershed is projected to increase, primarily driven by expanding agriculture and declining vegetation cover. Future watershed management must mitigate these risks through reforestation and terracing."
Assessment of soil erosion risk in the mountainous region of northeastern Türkiye based on the RUSLE,Gezici,2025,northeastern Türkiye,Türkiye – Oltu Basin,CMIP6,"SSP2-4.5, SSP5-8.5",2023,2041–2060; 2061–2080,R-factor,RUSLE,MPI-ESM1-2-HR,WorldClim downscaled CMIP6 data,Average R-factor and soil loss show slight variations; severe risk areas concentrated in northwestern and central parts; erosion increase in western basin.,"Current R-factor: 148.64; Future R-factor (SSP5-8.5, 2041-2060): 150.94 MJ mm/ha/h/yr; Current average soil loss: 49.90 t/ha/yr.",limited access to short-duration rainfall data; scale effects of global soil maps,"Soil erosion risk in the Oltu Basin is predominantly very low, though severe risk persists in central and northwestern regions. Climate change scenarios suggest continued vulnerability, necessitating targeted erosion control."
"Performance Evaluation of CMIP6 Climate Models for Rainfall and Erosivity in the Thamirabharani Basin, India",Jeilani,2025,India,India – Thamirabharani River Basin,CMIP6,"SSP2-4.5, SSP5-8.5",1950–2014,"2021–2040 (near), 2041–2070 (mid), 2071–2100 (far)",Rainfall erosivity,MCDM/GDM for GCM selection,35 CMIP6 GCMs from NASA NEX-GDDP,bias-correction and spatial downscaling (NEX-GDDP),Precipitation and rainfall erosivity show a gradual spatial increase from baseline through the far future.,Rainfall/Erosivity rise by 1.34/1.40 times (SSP4.5) to 1.54/1.47 times (SSP8.5) in future. Average Rainfall: 929.57 to 1536.32 mm (far SSP8.5).,GCM selection challenges; temporal variability smoothed by gridding,"ACCESS-CM2 is identified as the top-performing model for the basin. Rainfall and erosivity are projected to rise significantly by the end of the 21st century, especially under high-emission scenarios."
Climate Change Impacts on Soil Erosion in the Ceyhan Basin Using the RUSLE Model under the SSP5-8.5 Scenario,K?l?ç,2025,Ceyhan Basin,Türkiye – Ceyhan Basin,CMIP6,SSP5-8.5,1995–2014,2041–2060,R-factor,RUSLE,MPI-ESM1-2-LR,NEX-GDDP-CMIP6 downscaled data; GEE cloud computing,Emerging erosion hotspots identified in southern and central areas due to intensified erosion under SSP5-8.5; peak values increase.,Mean soil loss: 4.424 (baseline) to 5.182 t ha?¹ yr?¹ (2041-2060); Rainfall erosivity enhancement: 7.6%.,lack of kilometer-resolution datasets; internal climate variability; sub-daily rainfall data needs,High-emission scenario SSP5-8.5 is projected to increase rainfall erosivity and soil loss in the Ceyhan Basin by 2060. Southern and central areas will see intensified degradation.
